date,close,symbol
1999-11-01,92.37,MSFT
1999-11-02,92.56,MSFT
1999-11-03,92.0,MSFT
1999-11-04,91.75,MSFT
1999-11-05,91.56,MSFT
1999-11-08,89.94,MSFT
1999-11-09,88.87,MSFT
1999-11-10,87.12,MSFT
1999-11-11,89.62,MSFT
1999-11-12,89.19,MSFT
1999-11-15,87.0,MSFT
1999-11-16,87.31,MSFT
1999-11-17,85.0,MSFT
1999-11-18,84.94,MSFT
1999-11-19,86.0,MSFT
1999-11-22,89.81,MSFT
1999-11-23,89.62,MSFT
1999-11-24,91.69,MSFT
1999-11-26,91.12,MSFT
1999-11-29,90.19,MSFT
1999-11-30,91.05,MSFT
1999-12-01,93.19,MSFT
1999-12-02,94.81,MSFT
1999-12-03,96.12,MSFT
1999-12-06,95.44,MSFT
1999-12-07,93.0,MSFT
1999-12-08,91.75,MSFT
1999-12-09,92.75,MSFT
1999-12-10,93.87,MSFT
1999-12-13,96.62,MSFT
1999-12-14,98.69,MSFT
1999-12-15,108.44,MSFT
1999-12-16,113.69,MSFT
1999-12-17,115.25,MSFT
1999-12-20,112.75,MSFT
1999-12-21,115.87,MSFT
1999-12-22,117.56,MSFT
1999-12-23,117.44,MSFT
1999-12-27,119.12,MSFT
1999-12-28,117.5,MSFT
1999-12-29,117.94,MSFT
1999-12-30,117.62,MSFT
1999-12-31,116.75,MSFT
2000-01-03,116.56,MSFT
2000-01-04,112.62,MSFT
2000-01-05,113.81,MSFT
2000-01-06,110.0,MSFT
2000-01-07,111.44,MSFT
2000-01-10,112.25,MSFT
2000-01-11,109.37,MSFT
2000-01-12,105.81,MSFT
2000-01-13,107.81,MSFT
2000-01-14,112.25,MSFT
2000-01-18,115.31,MSFT
2000-01-19,107.0,MSFT
2000-01-20,106.0,MSFT
2000-01-21,103.75,MSFT
2000-01-24,101.25,MSFT
2000-01-25,102.81,MSFT
2000-01-26,99.37,MSFT
2000-01-27,98.75,MSFT
2000-01-28,98.25,MSFT
2000-01-31,97.87,MSFT
2000-02-01,102.94,MSFT
2000-02-02,100.81,MSFT
2000-02-03,103.62,MSFT
2000-02-04,106.56,MSFT
2000-02-07,106.62,MSFT
2000-02-08,109.94,MSFT
2000-02-09,104.0,MSFT
2000-02-10,106.0,MSFT
2000-02-11,99.94,MSFT
2000-02-14,99.62,MSFT
2000-02-15,98.56,MSFT
2000-02-16,97.62,MSFT
2000-02-17,99.62,MSFT
2000-02-18,95.06,MSFT
2000-02-22,93.81,MSFT
2000-02-23,94.25,MSFT
2000-02-24,94.75,MSFT
2000-02-25,91.31,MSFT
2000-02-28,91.56,MSFT
2000-02-29,89.37,MSFT
2000-03-01,90.81,MSFT
2000-03-02,93.37,MSFT
2000-03-03,96.12,MSFT
2000-03-06,90.62,MSFT
2000-03-07,92.87,MSFT
2000-03-08,95.56,MSFT
2000-03-09,100.0,MSFT
2000-03-10,101.0,MSFT
2000-03-13,98.0,MSFT
2000-03-14,95.12,MSFT
2000-03-15,95.37,MSFT
2000-03-16,95.37,MSFT
2000-03-17,99.37,MSFT
2000-03-20,97.37,MSFT
2000-03-21,102.75,MSFT
2000-03-22,103.25,MSFT
2000-03-23,111.87,MSFT
2000-03-24,111.69,MSFT
2000-03-27,104.06,MSFT
2000-03-28,104.31,MSFT
2000-03-29,107.19,MSFT
2000-03-30,103.37,MSFT
2000-03-31,106.25,MSFT
2000-04-03,90.87,MSFT
2000-04-04,88.56,MSFT
2000-04-05,86.37,MSFT
2000-04-06,86.0,MSFT
2000-04-07,89.06,MSFT
2000-04-10,86.06,MSFT
2000-04-11,83.87,MSFT
2000-04-12,79.37,MSFT
2000-04-13,79.25,MSFT
2000-04-14,74.12,MSFT
2000-04-17,75.87,MSFT
2000-04-18,80.56,MSFT
2000-04-19,78.69,MSFT
2000-04-20,78.94,MSFT
