date,close,symbol
1999-11-01,77.62,AAPL
1999-11-02,80.25,AAPL
1999-11-03,81.5,AAPL
1999-11-04,83.62,AAPL
1999-11-05,88.31,AAPL
1999-11-08,96.37,AAPL
1999-11-09,89.62,AAPL
1999-11-10,91.44,AAPL
1999-11-11,92.25,AAPL
1999-11-12,90.62,AAPL
1999-11-15,89.44,AAPL
1999-11-16,91.19,AAPL
1999-11-17,90.25,AAPL
1999-11-18,89.62,AAPL
1999-11-19,92.44,AAPL
1999-11-22,90.62,AAPL
1999-11-23,92.81,AAPL
1999-11-24,94.69,AAPL
1999-11-26,95.06,AAPL
1999-11-29,94.56,AAPL
1999-11-30,97.87,AAPL
1999-12-01,103.06,AAPL
1999-12-02,110.19,AAPL
1999-12-03,115.0,AAPL
1999-12-06,116.0,AAPL
1999-12-07,117.81,AAPL
1999-12-08,110.06,AAPL
1999-12-09,105.25,AAPL
1999-12-10,103.0,AAPL
1999-12-13,99.0,AAPL
1999-12-14,94.87,AAPL
1999-12-15,97.0,AAPL
1999-12-16,98.31,AAPL
1999-12-17,100.0,AAPL
1999-12-20,98.0,AAPL
1999-12-21,102.5,AAPL
1999-12-22,99.94,AAPL
1999-12-23,103.5,AAPL
1999-12-27,99.31,AAPL
1999-12-28,98.19,AAPL
1999-12-29,100.69,AAPL
1999-12-30,100.31,AAPL
1999-12-31,102.81,AAPL
2000-01-03,111.94,AAPL
2000-01-04,102.5,AAPL
2000-01-05,104.0,AAPL
2000-01-06,95.0,AAPL
2000-01-07,99.5,AAPL
2000-01-10,97.75,AAPL
2000-01-11,92.75,AAPL
2000-01-12,87.19,AAPL
2000-01-13,96.75,AAPL
2000-01-14,100.44,AAPL
2000-01-18,103.94,AAPL
2000-01-19,106.56,AAPL
2000-01-20,113.5,AAPL
2000-01-21,111.31,AAPL
2000-01-24,106.25,AAPL
2000-01-25,112.25,AAPL
2000-01-26,110.19,AAPL
2000-01-27,110.0,AAPL
2000-01-28,101.62,AAPL
2000-01-31,103.75,AAPL
2000-02-01,100.25,AAPL
2000-02-02,98.81,AAPL
2000-02-03,103.31,AAPL
2000-02-04,108.0,AAPL
2000-02-07,114.06,AAPL
2000-02-08,114.87,AAPL
2000-02-09,112.62,AAPL
2000-02-10,113.5,AAPL
2000-02-11,108.75,AAPL
2000-02-14,115.81,AAPL
2000-02-15,119.0,AAPL
2000-02-16,114.12,AAPL
2000-02-17,114.87,AAPL
2000-02-18,111.25,AAPL
2000-02-22,113.81,AAPL
2000-02-23,116.25,AAPL
2000-02-24,115.2,AAPL
2000-02-25,110.37,AAPL
2000-02-28,113.25,AAPL
2000-02-29,114.62,AAPL
2000-03-01,130.31,AAPL
2000-03-02,122.0,AAPL
2000-03-03,128.0,AAPL
2000-03-06,125.69,AAPL
2000-03-07,122.87,AAPL
2000-03-08,122.0,AAPL
2000-03-09,122.25,AAPL
2000-03-10,125.75,AAPL
2000-03-13,121.31,AAPL
2000-03-14,114.25,AAPL
2000-03-15,116.25,AAPL
2000-03-16,121.56,AAPL
2000-03-17,125.0,AAPL
2000-03-20,123.0,AAPL
2000-03-21,134.94,AAPL
2000-03-22,144.19,AAPL
2000-03-23,141.31,AAPL
2000-03-24,138.69,AAPL
2000-03-27,139.56,AAPL
2000-03-28,139.13,AAPL
2000-03-29,135.94,AAPL
2000-03-30,125.75,AAPL
2000-03-31,135.81,AAPL
2000-04-03,133.31,AAPL
2000-04-04,127.31,AAPL
2000-04-05,130.38,AAPL
2000-04-06,125.19,AAPL
2000-04-07,131.75,AAPL
2000-04-10,125.0,AAPL
2000-04-11,119.44,AAPL
2000-04-12,109.25,AAPL
2000-04-13,113.81,AAPL
2000-04-14,111.87,AAPL
2000-04-17,123.87,AAPL
2000-04-18,126.87,AAPL
2000-04-19,121.12,AAPL
2000-04-20,118.87,AAPL
2000-04-24,120.5,AAPL
2000-04-25,128.31,AAPL
2000-04-26,121.31,AAPL
2000-04-27,126.75,AAPL
2000-04-28,124.06,AAPL
2000-05-01,124.31,AAPL
2000-05-02,117.87,AAPL
2000-05-03,115.06,AAPL
2000-05-04,110.69,AAPL
2000-05-05,113.12,AAPL
2000-05-08,110.12,AAPL
2000-05-09,105.44,AAPL
2000-05-10,99.31,AAPL
2000-05-11,102.81,AAPL
2000-05-12,107.62,AAPL
2000-05-15,101.0,AAPL
2000-05-16,105.69,AAPL
2000-05-17,101.37,AAPL
2000-05-18,100.75,AAPL
2000-05-19,94.0,AAPL
2000-05-22,89.94,AAPL
2000-05-23,85.81,AAPL
2000-05-24,87.69,AAPL
2000-05-25,87.27,AAPL
2000-05-26,86.37,AAPL
2000-05-30,87.56,AAPL
2000-05-31,84.0,AAPL
2000-06-01,89.12,AAPL
2000-06-02,92.56,AAPL
2000-06-05,91.31,AAPL
2000-06-06,92.87,AAPL
2000-06-07,96.56,AAPL
2000-06-08,94.81,AAPL
2000-06-09,95.75,AAPL
2000-06-12,91.19,AAPL
2000-06-13,94.5,AAPL
2000-06-14,90.44,AAPL
2000-06-15,92.37,AAPL
2000-06-16,91.19,AAPL
2000-06-19,96.62,AAPL
2000-06-20,101.25,AAPL
2000-06-21,55.63,AAPL
2000-06-22,53.75,AAPL
2000-06-23,51.69,AAPL
2000-06-26,54.13,AAPL
2000-06-27,51.75,AAPL
2000-06-28,54.44,AAPL
2000-06-29,51.25,AAPL
2000-06-30,52.38,AAPL
2000-07-03,53.31,AAPL
2000-07-05,51.63,AAPL
2000-07-06,51.81,AAPL
2000-07-07,54.44,AAPL
2000-07-10,57.13,AAPL
2000-07-11,56.94,AAPL
2000-07-12,58.88,AAPL
2000-07-13,56.5,AAPL
2000-07-14,57.69,AAPL
2000-07-17,58.31,AAPL
2000-07-18,57.25,AAPL
2000-07-19,52.69,AAPL
2000-07-20,55.13,AAPL
2000-07-21,53.56,AAPL
2000-07-24,48.69,AAPL
2000-07-25,50.06,AAPL
2000-07-26,50.06,AAPL
2000-07-27,52.0,AAPL
2000-07-28,48.31,AAPL
2000-07-31,50.81,AAPL
2000-08-01,49.31,AAPL
2000-08-02,47.25,AAPL
2000-08-03,48.0,AAPL
2000-08-04,47.38,AAPL
2000-08-07,47.94,AAPL
